0.05000	0.05000	0.00900	0.02286	24	359	0.19134
0.05000	0.05000	0.01235	0.02539	7	328	0.19424
0.05000	0.05000	0.02566	0.02754	49	286	0.06152
0.05000	0.05000	0.02692	0.02913	59	276	0.05945
0.05000	0.05000	0.03607	0.03031	51	284	0.03274
0.05000	0.05000	0.00478	0.03071	15	320	0.18273
0.05000	0.05000	0.04107	0.03297	43	292	0.01751
0.05000	0.05000	0.04868	0.03350	66	269	0.00926
0.05000	0.05000	0.01524	0.03427	38	297	0.23496
0.05000	0.05000	0.04241	0.03469	16	319	0.01625
0.05000	0.05000	0.00672	0.06394	13	348	0.05053
0.05000	0.05000	0.00466	0.07288	6	329	0.04079
0.05000	0.05000	0.01163	0.09362	34	301	0.07789
0.05000	0.05000	0.03176	0.10835	61	274	0.02090
0.05000	0.05000	0.01944	0.13732	64	271	0.06995
0.05000	0.05000	0.02350	0.14424	17	318	0.04734
0.05000	0.05000	0.01140	0.19076	24	359	0.07676
0.05000	0.05000	0.00102	0.25511	50	285	0.02819
0.05000	0.05000	0.03015	0.45078	45	290	0.02422
0.05000	0.05000	0.00903	0.49940	29	364	0.06344
