53  abs_mut=11163 depth=13 abs_father_mut=8553 index_father_mut=52 num_children_mut=1 number_cells=0
54  abs_mut=17212 depth=14 abs_father_mut=11163 index_father_mut=53 num_children_mut=1 number_cells=0
55  abs_mut=23407 depth=15 abs_father_mut=17212 index_father_mut=54 num_children_mut=1 number_cells=0
56  abs_mut=45263 depth=16 abs_father_mut=23407 index_father_mut=55 num_children_mut=1 number_cells=0
57  abs_mut=1073792351 depth=17 abs_father_mut=45263 index_father_mut=56 num_children_mut=1 number_cells=0
58  abs_mut=74121 depth=18 abs_father_mut=1073792351 index_father_mut=57 num_children_mut=1 number_cells=0
59  abs_mut=75694 depth=19 abs_father_mut=74121 index_father_mut=58 num_children_mut=1 number_cells=0
60  abs_mut=1073831442 depth=20 abs_father_mut=75694 index_father_mut=59 num_children_mut=0 number_cells=1
61  abs_mut=1073742282 depth=11 abs_father_mut=216 index_father_mut=31 num_children_mut=1 number_cells=0
62  abs_mut=459 depth=12 abs_father_mut=1073742282 index_father_mut=61 num_children_mut=1 number_cells=0
63  abs_mut=540 depth=13 abs_father_mut=459 index_father_mut=62 num_children_mut=2 number_cells=0
64  abs_mut=1073748984 depth=14 abs_father_mut=540 index_father_mut=63 num_children_mut=1 number_cells=0
65  abs_mut=11198 depth=15 abs_father_mut=1073748984 index_father_mut=64 num_children_mut=2 number_cells=0
66  abs_mut=40246 depth=16 abs_father_mut=11198 index_father_mut=65 num_children_mut=1 number_cells=0
67  abs_mut=1073787371 depth=17 abs_father_mut=40246 index_father_mut=66 num_children_mut=1 number_cells=0
68  abs_mut=46794 depth=18 abs_father_mut=1073787371 index_father_mut=67 num_children_mut=1 number_cells=0
69  abs_mut=84143 depth=19 abs_father_mut=46794 index_father_mut=68 num_children_mut=1 number_cells=0
70  abs_mut=146491 depth=20 abs_father_mut=84143 index_father_mut=69 num_children_mut=0 number_cells=1
71  abs_mut=1440 depth=15 abs_father_mut=1073742316 index_father_mut=35 num_children_mut=2 number_cells=0
72  abs_mut=6092 depth=16 abs_father_mut=1440 index_father_mut=71 num_children_mut=1 number_cells=0
73  abs_mut=1073797243 depth=17 abs_father_mut=6092 index_father_mut=72 num_children_mut=1 number_cells=0
74  abs_mut=70488 depth=18 abs_father_mut=1073797243 index_father_mut=73 num_children_mut=1 number_cells=0
75  abs_mut=70489 depth=19 abs_father_mut=70488 index_father_mut=74 num_children_mut=1 number_cells=0
76  abs_mut=100277 depth=20 abs_father_mut=70489 index_father_mut=75 num_children_mut=0 number_cells=1
77  abs_mut=352 depth=6 abs_father_mut=1073741990 index_father_mut=45 num_children_mut=1 number_cells=0
78  abs_mut=383 depth=7 abs_father_mut=352 index_father_mut=77 num_children_mut=1 number_cells=0
79  abs_mut=481 depth=8 abs_father_mut=383 index_father_mut=78 num_children_mut=1 number_cells=0
80  abs_mut=573 depth=9 abs_father_mut=481 index_father_mut=79 num_children_mut=1 number_cells=0
81  abs_mut=2159 depth=10 abs_father_mut=573 index_father_mut=80 num_children_mut=1 number_cells=0
82  abs_mut=1073744551 depth=11 abs_father_mut=2159 index_father_mut=81 num_children_mut=1 number_cells=0
83  abs_mut=1073748606 depth=12 abs_father_mut=1073744551 index_father_mut=82 num_children_mut=1 number_cells=0
84  abs_mut=17095 depth=13 abs_father_mut=1073748606 index_father_mut=83 num_children_mut=1 number_cells=0
85  abs_mut=17405 depth=14 abs_father_mut=17095 index_father_mut=84 num_children_mut=1 number_cells=0
86  abs_mut=1073770679 depth=15 abs_father_mut=17405 index_father_mut=85 num_children_mut=1 number_cells=0
87  abs_mut=1073809194 depth=16 abs_father_mut=1073770679 index_father_mut=86 num_children_mut=1 number_cells=0
88  abs_mut=1073848439 depth=17 abs_father_mut=1073809194 index_father_mut=87 num_children_mut=1 number_cells=0
89  abs_mut=107006 depth=18 abs_father_mut=1073848439 index_father_mut=88 num_children_mut=1 number_cells=0
90  abs_mut=1073909309 depth=19 abs_father_mut=107006 index_father_mut=89 num_children_mut=0 number_cells=1
91  abs_mut=1826 depth=14 abs_father_mut=754 index_father_mut=13 num_children_mut=1 number_cells=0
92  abs_mut=3808 depth=15 abs_father_mut=1826 index_father_mut=91 num_children_mut=1 number_cells=0
93  abs_mut=3951 depth=16 abs_father_mut=3808 index_father_mut=92 num_children_mut=1 number_cells=0
94  abs_mut=8453 depth=17 abs_father_mut=3951 index_father_mut=93 num_children_mut=1 number_cells=0
95  abs_mut=8454 depth=18 abs_father_mut=8453 index_father_mut=94 num_children_mut=1 number_cells=0
96  abs_mut=1073758868 depth=19 abs_father_mut=8454 index_father_mut=95 num_children_mut=0 number_cells=1
97  abs_mut=1067 depth=13 abs_father_mut=1073742373 index_father_mut=12 num_children_mut=1 number_cells=0
98  abs_mut=1073747143 depth=14 abs_father_mut=1067 index_father_mut=97 num_children_mut=1 number_cells=0
99  abs_mut=1073747321 depth=15 abs_father_mut=1073747143 index_father_mut=98 num_children_mut=1 number_cells=0
100  abs_mut=8137 depth=16 abs_father_mut=1073747321 index_father_mut=99 num_children_mut=1 number_cells=0
101  abs_mut=13103 depth=17 abs_father_mut=8137 index_father_mut=100 num_children_mut=1 number_cells=0
102  abs_mut=43195 depth=18 abs_father_mut=13103 index_father_mut=101 num_children_mut=1 number_cells=0
103  abs_mut=136667 depth=19 abs_father_mut=43195 index_father_mut=102 num_children_mut=0 number_cells=1
104  abs_mut=874 depth=11 abs_father_mut=1073742090 index_father_mut=10 num_children_mut=1 number_cells=0
105  abs_mut=1252 depth=12 abs_father_mut=874 index_father_mut=104 num_children_mut=1 number_cells=0
106  abs_mut=1391 depth=13 abs_father_mut=1252 index_father_mut=105 num_children_mut=1 number_cells=0
107  abs_mut=1073743820 depth=14 abs_father_mut=1391 index_father_mut=106 num_children_mut=1 number_cells=0
108  abs_mut=5492 depth=15 abs_father_mut=1073743820 index_father_mut=107 num_children_mut=1 number_cells=0
109  abs_mut=1073758542 depth=16 abs_father_mut=5492 index_father_mut=108 num_children_mut=1 number_cells=0
110  abs_mut=72778 depth=17 abs_father_mut=1073758542 index_father_mut=109 num_children_mut=1 number_cells=0
111  abs_mut=95512 depth=18 abs_father_mut=72778 index_father_mut=110 num_children_mut=1 number_cells=0
112  abs_mut=127716 depth=19 abs_father_mut=95512 index_father_mut=111 num_children_mut=0 number_cells=1
113  abs_mut=5358 depth=16 abs_father_mut=1440 index_father_mut=71 num_children_mut=1 number_cells=0
114  abs_mut=18384 depth=17 abs_father_mut=5358 index_father_mut=113 num_children_mut=1 number_cells=0
115  abs_mut=77565 depth=18 abs_father_mut=18384 index_father_mut=114 num_children_mut=1 number_cells=0
116  abs_mut=87299 depth=19 abs_father_mut=77565 index_father_mut=115 num_children_mut=0 number_cells=1
117  abs_mut=1073743734 depth=14 abs_father_mut=540 index_father_mut=63 num_children_mut=2 number_cells=0
118  abs_mut=10816 depth=15 abs_father_mut=1073743734 index_father_mut=117 num_children_mut=1 number_cells=0
119  abs_mut=38979 depth=16 abs_father_mut=10816 index_father_mut=118 num_children_mut=1 number_cells=0
120  abs_mut=44047 depth=17 abs_father_mut=38979 index_father_mut=119 num_children_mut=1 number_cells=0
121  abs_mut=1073800906 depth=18 abs_father_mut=44047 index_father_mut=120 num_children_mut=1 number_cells=0
122  abs_mut=70704 depth=19 abs_father_mut=1073800906 index_father_mut=121 num_children_mut=0 number_cells=1
123  abs_mut=26153 depth=16 abs_father_mut=11198 index_father_mut=65 num_children_mut=1 number_cells=0
124  abs_mut=32781 depth=17 abs_father_mut=26153 index_father_mut=123 num_children_mut=1 number_cells=0
125  abs_mut=39236 depth=18 abs_father_mut=32781 index_father_mut=124 num_children_mut=1 number_cells=0
126  abs_mut=40370 depth=19 abs_father_mut=39236 index_father_mut=125 num_children_mut=0 number_cells=1
127  abs_mut=1073742036 depth=6 abs_father_mut=1073741990 index_father_mut=45 num_children_mut=4 number_cells=0
128  abs_mut=562 depth=7 abs_father_mut=1073742036 index_father_mut=127 num_children_mut=1 number_cells=0
129  abs_mut=2389 depth=8 abs_father_mut=562 index_father_mut=128 num_children_mut=1 number_cells=0
130  abs_mut=1073745208 depth=9 abs_father_mut=2389 index_father_mut=129 num_children_mut=1 number_cells=0
131  abs_mut=4690 depth=10 abs_father_mut=1073745208 index_father_mut=130 num_children_mut=1 number_cells=0
132  abs_mut=1073748212 depth=11 abs_father_mut=4690 index_father_mut=131 num_children_mut=2 number_cells=0
133  abs_mut=7200 depth=12 abs_father_mut=1073748212 index_father_mut=132 num_children_mut=3 number_cells=1
134  abs_mut=29999 depth=13 abs_father_mut=7200 index_father_mut=133 num_children_mut=1 number_cells=0
135  abs_mut=43518 depth=14 abs_father_mut=29999 index_father_mut=134 num_children_mut=1 number_cells=0
136  abs_mut=93954 depth=15 abs_father_mut=43518 index_father_mut=135 num_children_mut=1 number_cells=0
137  abs_mut=105480 depth=16 abs_father_mut=93954 index_father_mut=136 num_children_mut=1 number_cells=0
138  abs_mut=115662 depth=17 abs_father_mut=105480 index_father_mut=137 num_children_mut=0 number_cells=1
139  abs_mut=79082 depth=16 abs_father_mut=2631 index_father_mut=36 num_children_mut=1 number_cells=0
140  abs_mut=86492 depth=17 abs_father_mut=79082 index_father_mut=139 num_children_mut=0 number_cells=1
141  abs_mut=1005 depth=7 abs_father_mut=1073742036 index_father_mut=127 num_children_mut=1 number_cells=0
142  abs_mut=1073743751 depth=8 abs_father_mut=1005 index_father_mut=141 num_children_mut=1 number_cells=0
143  abs_mut=1928 depth=9 abs_father_mut=1073743751 index_father_mut=142 num_children_mut=1 number_cells=0
144  abs_mut=1073746378 depth=10 abs_father_mut=1928 index_father_mut=143 num_children_mut=1 number_cells=0
145  abs_mut=23096 depth=11 abs_father_mut=1073746378 index_father_mut=144 num_children_mut=1 number_cells=0
146  abs_mut=24293 depth=12 abs_father_mut=23096 index_father_mut=145 num_children_mut=1 number_cells=0
147  abs_mut=57629 depth=13 abs_father_mut=24293 index_father_mut=146 num_children_mut=1 number_cells=0
148  abs_mut=111713 depth=14 abs_father_mut=57629 index_father_mut=147 num_children_mut=1 number_cells=0
149  abs_mut=119723 depth=15 abs_father_mut=111713 index_father_mut=148 num_children_mut=1 number_cells=0
150  abs_mut=134878 depth=16 abs_father_mut=119723 index_father_mut=149 num_children_mut=0 number_cells=1
151  abs_mut=4828 depth=8 abs_father_mut=1073742261 index_father_mut=47 num_children_mut=1 number_cells=0
152  abs_mut=4891 depth=9 abs_father_mut=4828 index_father_mut=151 num_children_mut=1 number_cells=0
153  abs_mut=8018 depth=10 abs_father_mut=4891 index_father_mut=152 num_children_mut=1 number_cells=0
154  abs_mut=10667 depth=11 abs_father_mut=8018 index_father_mut=153 num_children_mut=1 number_cells=0
155  abs_mut=17346 depth=12 abs_father_mut=10667 index_father_mut=154 num_children_mut=1 number_cells=0
156  abs_mut=18342 depth=13 abs_father_mut=17346 index_father_mut=155 num_children_mut=1 number_cells=0
