0	0.99124
0	1.47102
0	0.77950
0	1.09357
0	1.22343
0	1.36367
0	1.55864
0	1.17286
0	1.82780
0	0.44191
0	1.23076
1	1.98533
1	1.89182
1	2.21391
1	1.00414
1	1.51659
1	1.41734
1	2.20578
1	1.65747
1	2.57131
1	2.64775
1	2.87166
2	1.70073
2	1.56335
2	0.71276
2	1.63352
2	1.18404
2	0.98072
2	1.98803
2	1.71714
2	1.08995
2	1.17819
2	1.59004
3	2.54661
3	2.49481
3	2.62484
3	2.65963
3	1.62226
3	2.22516
3	2.08951
3	2.22614
3	2.32455
3	2.44068
3	1.76697
6	0.70213
6	1.09864
6	0.90188
6	0.36018
6	0.85545
6	0.79384
6	0.70501
6	0.74452
6	0.82821
6	1.10015
6	0.91718
7	0.88110
7	1.00813
7	1.34703
7	0.78780
7	0.98588
7	0.76733
7	0.73386
7	0.61350
7	1.01016
7	1.52342
7	1.73409
8	2.22505
8	3.01988
8	2.35833
8	1.73626
8	1.28644
8	2.00147
8	2.24006
8	2.04168
8	1.81435
8	2.08859
8	1.80044
9	2.53657
9	2.55207
9	3.57648
9	2.56088
9	3.23555
9	2.73463
9	3.33487
9	3.17294
9	2.55973
9	3.43684
9	2.60205
10	1.83514
10	2.66912
10	1.18074
10	1.79284
10	2.98768
10	2.83500
10	3.06407
10	2.80425
10	2.72209
10	2.30759
10	2.33145
11	2.58573
11	0.69860
11	0.30112
11	1.83602
11	1.15544
11	0.67384
11	0.93218
11	1.43234
11	2.89455
11	1.10060
11	1.14030
12	4.33402
12	5.01907
12	5.03633
12	4.44103
12	4.96963
12	4.41127
12	4.73592
12	4.31089
12	4.35869
12	4.65396
12	4.67794
