0.05000	0.05000	0.00900	0.02286	24	359	0.12378
0.05000	0.05000	0.00478	0.03071	15	320	0.11821
0.05000	0.05000	0.04868	0.03350	66	269	0.00599
0.05000	0.05000	0.01524	0.03427	38	297	0.15199
0.05000	0.05000	0.00768	0.03654	50	285	0.08658
0.05000	0.05000	0.00641	0.03854	3	332	0.08333
0.05000	0.05000	0.00780	0.04164	1	336	0.08788
0.05000	0.05000	0.04661	0.04194	48	287	0.01727
0.05000	0.05000	0.01684	0.04238	24	311	0.24795
0.05000	0.05000	0.02164	0.04258	9	326	0.07702
0.05000	0.05000	0.02953	0.06578	31	304	0.01451
0.05000	0.05000	0.00950	0.06721	56	279	0.07285
0.05000	0.05000	0.00691	0.09536	5	330	0.05363
0.05000	0.05000	0.02396	0.11835	47	288	0.02702
0.05000	0.05000	0.02163	0.13538	64	271	0.03644
0.05000	0.05000	0.01000	0.20032	34	301	0.07636
0.05000	0.05000	0.00531	0.21767	7	342	0.04336
0.05000	0.05000	0.01133	0.22993	14	321	0.08392
0.05000	0.05000	0.00629	0.27332	62	397	0.04942
0.05000	0.05000	0.00516	0.47490	33	368	0.04249
