0.05000	0.05000	0.00500	0.11842	59	917
0.05000	0.05000	0.00500	0.13041	61	915
0.05000	0.05000	0.00500	0.12985	46	930
0.05000	0.05000	0.00500	0.14088	9	967
0.05000	0.05000	0.00500	0.13621	11	965
0.05000	0.05000	0.00500	0.13813	25	951
0.05000	0.05000	0.00500	0.13511	17	959
0.05000	0.05000	0.00500	0.11926	14	962
0.05000	0.05000	0.00500	0.13290	41	935
0.05000	0.05000	0.00500	0.15313	1	977
0.05000	0.05000	0.00500	0.13124	40	936
0.05000	0.05000	0.00500	0.14498	38	938
0.05000	0.05000	0.00500	0.13841	43	933
0.05000	0.05000	0.00500	0.16200	27	949
0.05000	0.05000	0.00500	0.12597	13	963
0.05000	0.05000	0.00500	0.13703	11	987
0.05000	0.05000	0.00500	0.12902	40	936
0.05000	0.05000	0.00500	0.12066	48	928
0.05000	0.05000	0.00500	0.13676	9	967
0.05000	0.05000	0.00500	0.13290	50	926
