0.05000	0.05000	0.00669	0.01468	12	323	0.12629
0.05000	0.05000	0.00900	0.02286	24	359	0.17722
0.05000	0.05000	0.01235	0.02539	7	328	0.17991
0.05000	0.05000	0.00912	0.02723	23	312	0.15365
0.05000	0.05000	0.02566	0.02754	49	286	0.05698
0.05000	0.05000	0.03821	0.02780	24	311	0.01436
0.05000	0.05000	0.02777	0.02796	19	316	0.03695
0.05000	0.05000	0.02692	0.02913	59	276	0.05506
0.05000	0.05000	0.03607	0.03031	51	284	0.03032
0.05000	0.05000	0.00478	0.03071	15	320	0.16925
0.05000	0.05000	0.04107	0.03297	43	292	0.00809
0.05000	0.05000	0.01412	0.03314	1	334	0.06541
0.05000	0.05000	0.01243	0.04575	16	319	0.06737
0.05000	0.05000	0.01576	0.05683	35	300	0.05967
0.05000	0.05000	0.01525	0.10395	1	334	0.06176
0.05000	0.05000	0.00750	0.13075	28	363	0.05067
0.05000	0.05000	0.00547	0.14531	54	281	0.04093
0.05000	0.05000	0.00823	0.19301	46	289	0.05426
0.05000	0.05000	0.00355	0.21008	7	328	0.03298
0.05000	0.05000	0.01573	0.21152	23	312	0.05980
